"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"1700020I14Rik"	5.67037891256425	5.5380541551515	5.59024871606766	5.69811573250206	5.76885043793197	5.71468900762036	5.18495911656573	5.19412301756062	5.2594373610609	5.42287517867372	5.22730496493276	5.31217034893305
"1700020L24Rik"	-0.577686191687834	0.719880945143881	-1.16726329309412	-0.346058427693003	-0.53331366416346	0.110477346311817	0.844718923849339	0.774960671652976	-0.137468292636031	1.3719699943117	0.928663245965172	1.14417469827666
"1700021F05Rik"	4.01892395937484	4.26879813644003	4.10906803338158	4.54750327543712	4.35851144017654	4.3907395398496	4.31839229906615	4.45100427780932	4.10781607168776	4.18655548798308	3.9143108636273	4.0723406929645
"1700021K19Rik"	4.71282303204695	4.35161874800194	4.36133894263553	4.48572189749033	4.41956864768649	4.48638335799793	4.13976573731721	3.9196606565079	4.12849978117552	4.00730100822551	4.51627158417241	4.17681975147191
"1700025G04Rik"	3.91553268483552	3.9461832117162	3.93134741015477	3.12634415394	3.25686018979196	2.88506760785434	1.38206494855735	0.679490702172426	0.012498636064924	1.30816448133504	0.782862677228071	1.65263832361536
"1700028E10Rik"	0.676151358803304	0.00469666661528916	0.129520708605665	0.437508655407332	-0.428311957085718	0.110477346311817	1.72632649365891	2.00435584658242	1.40702730881875	1.89063479031795	1.55598359608499	0.993101236803674
"1700028J19Rik"	0.840902430644488	1.09913735162941	0.888075799004248	1.28554185453078	0.958229527503003	1.13272815232746	0.887484671750852	0.774960671652976	0.638244950630889	1.46268024810435	1.39801718804645	1.17959446224842
"1700030K09Rik"	2.83313607573061	3.18980246589958	2.9427380749784	3.24100248603999	3.00831125516289	2.94711849013311	2.47980827114621	2.65833650051294	2.71932027136121	3.0034232855459	2.89793746372876	2.79380275091211
"1700037C18Rik"	2.6761952092894	2.6214173937017	2.75910240121449	2.96412195535469	2.94130652970328	2.28771736188013	2.65091705923065	2.89985677489511	2.93192841573759	2.8211430692903	2.66806931429191	2.47539443373325
"1700037H04Rik"	5.52896382026635	5.51636511602165	5.7068166621118	5.68660000417489	5.56457356833119	5.84146415455464	5.01456187059392	5.20915717700864	5.38508428160299	5.52288412167662	5.51201611570512	5.42530818137816
"1700040L02Rik"	0.744325559974823	1.09913735162941	1.32156513856092	-0.0869480996831224	0.609381167343777	0.110477346311817	1.19043338704351	1.59739912145805	1.13996454715452	0.60831612420947	0.562261020213286	1.24792732938613
"1700048O20Rik"	0.529303706010073	1.2267263868097	0.755776211323865	1.15792346232045	1.10539901924654	1.59816908273052	1.22419221167401	1.51683176007111	1.5610403699595	0.660350122854129	1.22060321253474	0.911185639255909
"1700049G17Rik"	2.27658308569819	1.45234712813128	1.94514194011362	1.72893598268136	2.44306928136406	2.14372617365424	2.67552919349123	2.65833650051294	2.29061016361071	2.75088460715467	2.83767089960788	3.04491465325197
"1700052K11Rik"	2.64086177378187	3.02403971369086	2.36403634507263	2.04974757213533	1.74475401793385	2.18845226109905	3.15838336979667	2.91040792560087	2.59404471602362	2.5309480301266	2.15868955724785	2.34107026551871
"1700056E22Rik"	1.57996326124399	1.79882120701722	1.29002073735493	0.734505585513539	1.06999002801268	0.789870880566595	2.58748459225865	2.0996379279191	2.16808944650293	1.70490959737038	1.75157990102993	2.22719987115031
"1700066B19Rik"	3.570628592759	3.55453034576842	3.97663390111328	3.43929659025661	3.34096346524145	3.90630307124999	0.708245036002212	1.62328516390237	1.72212638333362	1.84639655913417	2.52252803364156	2.00828277248699
"1700066M21Rik"	3.56592667795016	3.40742328030223	3.36223863726703	3.63172849379497	3.43442292781239	3.9196295176636	2.60039616902245	3.75964693676971	2.95063370103734	2.77468629830348	3.15661666820253	3.27519643176355
"1700086O06Rik"	1.19770621681863	0.883725517458173	1.5249458078971	1.25467990995779	1.55289722706993	0.750639684583631	-0.28047720476146	0.284611613499582	1.2345859034314	0.179597368623018	0.928663245965172	-0.573393323530706
"1700094D03Rik"	2.2058090418214	2.4358190281901	2.30213331011797	2.53389733415781	2.26663514212891	2.38058997346406	3.6494436933962	2.89985677489511	3.6451374085475	3.90317617456003	2.81284123233725	3.5365470266027
"1700096K18Rik"	2.25337538186315	2.44896333688145	2.54863566207847	1.56251114242681	1.99180976530475	1.40954854603571	3.24315387165416	2.99214918050147	2.96909956359391	2.75088460715467	2.55283461139631	2.93521439926144
"1700097N02Rik"	4.38734496847328	4.85960601547945	4.8080518403267	3.66731600474751	3.76848791523594	3.98024196631318	4.25039168898398	4.59531363790899	4.48992166358829	4.15969130130746	4.04265471395092	4.33832953873913
"1700113A16Rik"	2.96755427804424	2.76496789052742	2.96288254168257	2.9352186309607	2.88128801266478	2.98141355675757	4.005459164479	3.78280149469861	3.98616526309699	4.0902572682432	3.39274326103311	3.72214579929646
