gene	length	logFC	logCPM	F	PValue	FDR
BC049352	5050	1.220340707	3.308701119	18.99003476	0.000621641	0.008599117
Arhgap24	14407	1.213386608	1.587372058	17.25704887	0.000927513	0.011349932
Zfp72	4187	1.206029767	0.426409741	6.042443078	0.027251321	0.110596746
Selenbp1	1685	1.205396114	0.737132131	5.334637578	0.036270263	0.132960648
Hsd17b14	1653	1.204864847	0.432772115	6.963426132	0.019144722	0.087401168
Chst15	5922	1.199300671	3.942935351	41.27494565	1.42E-05	0.000757855
Dctd	3046	1.188080019	3.489797993	26.3464896	0.000141091	0.003132934
Cd83	2141	1.185731776	7.678023114	51.99300077	3.91E-06	0.000336142
Itga9	7091	1.182969948	1.025633991	4.76958194	0.046042305	0.156365717
Homer1	18067	1.182665376	3.014674104	37.29542362	2.44E-05	0.001013772
Irf8	3435	1.18174776	6.079301007	79.20093461	3.22E-07	7.71E-05
Fancf	1691	1.176897535	1.169930204	8.653549438	0.010498214	0.058106633
Rreb1	14627	1.173127343	3.350278097	26.08594064	0.000147959	0.003228137
Bcl2l11	9973	1.171816374	5.577602319	55.56657183	2.67E-06	0.000263563
Cxcr3	1609	1.16232062	5.031083798	18.41967213	0.000707365	0.009324953
Mir17hg	2339	1.162157008	1.35651746	10.38934336	0.005970048	0.039442961
Pdgfb	5088	1.155722722	0.52414553	5.060855257	0.040665044	0.143783625
Gm3636	5353	1.133050871	3.444820336	21.24908505	0.00038103	0.006244015
Tasl	4367	1.129559529	1.981774926	16.98884454	0.000988844	0.011831854
4930481B07Rik	7228	1.128545268	1.700002584	17.70788836	0.000833957	0.010513653
Gm22146	4248	1.128097863	0.91066729	4.292851334	0.056760952	0.180819129
Tg	8695	1.125351864	3.256383697	9.658965127	0.007526546	0.046026953
Snhg15	592	1.120187431	4.194150842	49.58231444	5.12E-06	0.000384524
Mtfp1	1396	1.108077707	3.100963074	19.56832835	0.000546629	0.007899813
Sema4c	7688	1.102703382	1.740236175	7.329896089	0.016724689	0.080053806
