NAME	TITLE	SCORE	
NDUFA12		2.6164188	
HOPX		2.6146622	
RHBDF1		2.6124904	
CAPN3		2.6070807	
PHGDH		2.5995421	
SMYD2		2.5967162	
RTN4		2.5949557	
NCLN		2.5911872	
TRMT2A		2.5909224	
UBE2V2		2.5890634	
PSMB7		2.5883107	
LUC7L		2.5817082	
GLS		2.575282	
DCAF13		2.5752134	
SUCLG2		2.571731	
D19BWG1357E		2.5716653	
NAE1		2.5645463	
STRAP		2.5600872	
AK6		2.5573447	
XRCC6		2.5539777	
RBM8A		2.5522077	
TMEM33		2.5500214	
NUP37		2.5497231	
NOC3L		2.549392	
EIF5B		2.5491982	
NOL10		2.545838	
IL17RB		2.5444393	
GATA3		2.541858	
SPIN2C		2.5386064	
RNPS1		2.5350122	
TEX30		2.5323062	
RPS8		2.5322826	
RPLP0		2.531758	
COPS6		2.5309532	
NAT10		2.5308905	
DPH5		2.5302744	
PSME1		2.5216012	
TSPAN31		2.5206296	
ADH5		2.5203114	
RAB8B		2.5174081	
TMEM147		2.5165062	
NSFL1C		2.516217	
HIP1		2.5159128	
SLC25A39		2.515637	
PAM16		2.5152225	
TMED1		2.5150027	
TUBB6		2.514398	
ACADL		2.5138736	
MBD3		2.5121627	
PSMA7		2.5079453	
NOM1		2.5073874	
NOL8		2.50438	
TIMM8B		2.5013127	
APOL10B		2.4997857	
ZMIZ1		2.4961436	
MSTO1		2.495329	
RWDD1		2.495288	
GFOD1		2.490903	
DIEXF		2.490045	
PPP1R11		2.487181	
GTF2H1		2.4859424	
MPHOSPH8		2.4839394	
RPS19BP1		2.4818861	
MRRF		2.481404	
1500012F01RIK		2.4812353	
WDR5		2.4804392	
ELP5		2.4763467	
MGAT4A		2.4722002	
SLC39A10		2.4705236	
PSMD11		2.4680033	
PPIF		2.466418	
PSMD6		2.4623826	
FASL		2.4612534	
DDX31		2.4598763	
PTMA		2.4583619	
METAP1		2.4552245	
MYO19		2.4528887	
THOP1		2.451569	
MARS		2.4507217	
TMEM192		2.4486399	
TIMM23		2.448	
TIMM44		2.4448748	
CPTP		2.4445233	
TRMT10A		2.443744	
DNAJC19		2.4428613	
ERCC6L2		2.4420972	
2010111I01RIK		2.4420261	
N6AMT2		2.4413693	
RBPJ		2.440864	
RPPH1		2.4398942	
C1QTNF6		2.4398484	
NOMO1		2.4360397	
USP7		2.4350169	
LUC7L3		2.4307961	
TNFRSF9		2.4300065	
TMEM206		2.4267209	
RIPK2		2.4241807	
NDUFS7		2.4227633	
RPL8		2.4216013	
POLD2		2.4211822	
BRAF		2.4209304	
RPL7		2.420313	
KDM2B		2.4179096	
PCBP2		2.4147582	
PSMD12		2.4126158	
PRPF39		2.411089	
WDR55		2.4100301	
RRP7A		2.4005764	
MYCBP		2.3959718	
GEMIN5		2.3950796	
ACP1		2.393201	
ETFB		2.3911881	
TXN1		2.3848608	
KLK1B27		2.381627	
MAGOH		2.3813198	
MDN1		2.3808038	
RPL14-PS1		2.3740065	
POLR2D		2.3721087	
PSMB2		2.3695846	
LLPH		2.368468	
