"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"207"	"4632428N05Rik"	4846	-1.76066271116993	7.02240316461253	209.395517965102	5.51839666139107e-10	3.41166524646126e-08
"1202"	"Banf1"	1209	1.0034661334368	8.14868808343608	209.034219672012	5.58331515120207e-10	3.41166524646126e-08
"3496"	"Gars"	2390	1.5051837883556	7.72357561512924	208.251788137023	5.72690669927172e-10	3.4791785785749e-08
"8670"	"Susd3"	1434	-1.41216892367791	6.73338924313855	207.631306087361	5.8437709703691e-10	3.52977200566548e-08
"4907"	"Lrrc59"	2780	2.74628180272831	6.89721026681167	206.283625308575	6.10707643959824e-10	3.56585407667653e-08
"4599"	"Kdm5b"	6300	-1.42618655998428	5.96284052861312	207.053002588248	5.95514164439814e-10	3.56585407667653e-08
"6003"	"Nudcd1"	3447	1.39617472795659	5.15890267373605	206.428847424859	6.07806348729917e-10	3.56585407667653e-08
"6875"	"Prmt5"	2641	1.31238544196155	6.80275086845631	206.570695946401	6.04987595938914e-10	3.56585407667653e-08
"8348"	"Snrpa1"	1250	1.26281979281013	7.22824134918813	206.872492643817	5.99039807505885e-10	3.56585407667653e-08
"10133"	"Zer1"	4257	-1.25750142822944	6.03760281110067	206.557343460802	6.05252295151421e-10	3.56585407667653e-08
"5916"	"Nop56"	1895	1.36892801943061	8.01399163629221	206.020700047767	6.1600066778685e-10	3.5768878554916e-08
"3941"	"H2-Q5"	1181	-2.50255685947746	4.23469439474066	205.501063318556	6.26616012095207e-10	3.61853532259375e-08
"8493"	"Srm"	1328	3.37735752800629	6.21822951163387	204.828369694555	6.40668859355072e-10	3.67946978788077e-08
"8840"	"Tcn2"	2132	-2.63240885834785	4.206157758213	203.911744621568	6.60399032676944e-10	3.70899520325186e-08
"7348"	"Rfc4"	1216	2.05132709702633	6.39630859980459	203.714476149845	6.64735138073035e-10	3.70899520325186e-08
"4228"	"Iars"	4396	1.62237957156203	7.11757082565506	203.629604096511	6.66610655990527e-10	3.70899520325186e-08
"5744"	"Ndufab1"	800	1.12157926305009	7.1505920786375	203.61274565488	6.66983913810277e-10	3.70899520325186e-08
"6806"	"Ppt1"	2493	-1.08464216733359	6.93459735826649	203.858557119002	6.61564953175706e-10	3.70899520325186e-08
"3609"	"Glmp"	1537	-0.985962390104615	7.35165478199334	203.746291746992	6.64033620308538e-10	3.70899520325186e-08
"4000"	"Hdgf"	2245	1.16734320615727	6.4464171822463	202.969008058504	6.81416378610236e-10	3.76930849431241e-08
"1794"	"Cenpw"	1512	1.88290425615725	5.41111298655166	202.804296700786	6.85166092806197e-10	3.77020713894928e-08
"619"	"Akap8l"	2072	-1.8012322004625	6.81965418390876	202.067274155591	7.02235062327292e-10	3.82344133747544e-08
"8903"	"Tgfbr3"	6053	-1.28904749294841	5.8104592735545	201.917859227517	7.05754157440757e-10	3.82344133747544e-08
"1630"	"Cct4"	1966	0.946840276100405	8.42323582817601	201.999243159963	7.03834878610045e-10	3.82344133747544e-08
"4926"	"Lsm2"	1135	1.54419904349051	6.63801185009772	201.591634725406	7.13507573867676e-10	3.84562287248681e-08
"3089"	"Fabp5"	953	2.12314058439512	5.74126988543534	200.748969267156	7.33988212360524e-10	3.87515218516697e-08
"2819"	"Egr3"	4006	-2.04402987867336	4.87855219589254	200.315006975463	7.4479613834798e-10	3.87515218516697e-08
"3930"	"H2-DMa"	1658	-1.90599960880482	7.34150344851264	201.193742511805	7.23095962998664e-10	3.87515218516697e-08
"1922"	"Cinp"	2179	1.6122567811996	5.5789036489245	200.67566134135	7.35801359788677e-10	3.87515218516697e-08
"5876"	"Nlrc5"	6945	-1.33524804221466	6.99202808129486	200.806503619817	7.32568760652935e-10	3.87515218516697e-08
"4435"	"Irf1"	3360	-1.04039579954511	7.43141303754212	200.506381632383	7.4000772745123e-10	3.87515218516697e-08
"2848"	"Eif2s2"	2513	0.917022236765111	7.15203697799637	200.424802945527	7.42044618874628e-10	3.87515218516697e-08
"9086"	"Tmem191c"	1408	-2.21348408267954	3.79096489488846	199.920728512078	7.54773087815615e-10	3.90771682410942e-08
"3454"	"G3bp1"	2685	1.15864343340112	9.4841080478844	199.725767453778	7.59762620960569e-10	3.91426722857627e-08
"3834"	"Gpsm2"	3488	1.96580736037705	5.68190446753189	199.335796138697	7.69856073431809e-10	3.92776084066423e-08
"7289"	"Rbmxl1"	1725	1.32754806253402	6.69373519199968	199.341934036873	7.69696030794092e-10	3.92776084066423e-08
"6645"	"Pold2"	1610	1.32522581271578	6.51496612921354	197.814939102616	8.10705676115946e-10	4.09640223845125e-08
"3943"	"H2-T23"	1317	-1.29648679457374	8.57836309884799	197.908260039337	8.08129184480293e-10	4.09640223845125e-08
"5908"	"Nolc1"	3665	1.58188879796847	6.71209922821924	197.315073403428	8.24666696355125e-10	4.10769998990159e-08
"9532"	"Txn1"	1051	1.19298622347938	8.70426531202427	197.489128198916	8.19774588101341e-10	4.10769998990159e-08
"6043"	"Nup54"	2332	1.16711852518337	5.78173716398159	197.381560306419	8.22794054391473e-10	4.10769998990159e-08
"8843"	"Tcp11l2"	2400	-2.93485605745078	6.65304193306507	196.695636771789	8.42348700956632e-10	4.15539754255757e-08
"9151"	"Tmem71"	2931	-1.76072632409681	6.39606404579532	196.799516236162	8.39353529725819e-10	4.15539754255757e-08
"8584"	"Stip1"	2173	1.56664669442157	8.38139869650545	196.430199370984	8.50057537250122e-10	4.15539754255757e-08
"7007"	"Ptk2b"	4034	-0.88051981845531	8.42327082264309	196.457218139694	8.4926919634926e-10	4.15539754255757e-08
"4939"	"Ltb"	1095	-1.53183946625962	8.81264231882387	195.918452379236	8.65147557027258e-10	4.1720731049133e-08
"7680"	"Rtel1"	4439	1.2731099225835	5.83554436574981	195.910727255143	8.65377675424452e-10	4.1720731049133e-08
"1416"	"Cacybp"	2115	1.08305886040489	7.82328681361331	195.990625007515	8.63001019652636e-10	4.1720731049133e-08
"4119"	"Hmgb1"	2310	0.929602939848437	9.54230011588941	195.728704857195	8.70820037394535e-10	4.17914091005322e-08
"8842"	"Tcp1"	2499	1.38158164935677	8.31788510492024	195.565134212271	8.75743972682821e-10	4.18366779677111e-08
"5900"	"Nod1"	4415	-2.50808816169299	4.73723223473351	195.340172275291	8.8256783266382e-10	4.19718910465916e-08
"4444"	"Irf7"	1859	-1.59954924901958	6.11894596515168	194.482967051526	9.09130535034266e-10	4.30403690234691e-08
"3236"	"Fanci"	4619	1.84929350668787	4.89473835791052	193.139667874601	9.52608320986728e-10	4.4201359204284e-08
"694"	"Anapc15"	1041	1.44627260826184	5.84463359189228	193.077350300603	9.54682068446476e-10	4.4201359204284e-08
"2999"	"Eri1"	5067	1.43818554867324	7.069066821605	193.181125951485	9.51231558319184e-10	4.4201359204284e-08
